Data;Preço USD;Preço BRL
16/07/2025;118748.16;641240.08
17/07/2025;119445.37;645004.97
18/07/2025;117988.95;637140.31
19/07/2025;117901.63;636668.78
20/07/2025;117256.92;633187.37
21/07/2025;117482.47;634405.34
22/07/2025;119955.8;647761.3
23/07/2025;117925.76;636799.1
